05/31/24 1:49:33: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_trainings.scss on line 207, at column 0
05/31/24 2:20:51: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/_header.scss on line 627, at column 0
05/31/24 2:20:55: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/_header.scss on line 627, at column 0
05/31/24 2:21:01: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/_header.scss on line 627, at column 0
05/31/24 2:21:01: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/_header.scss on line 627, at column 0
05/31/24 2:21:04: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/_header.scss on line 627, at column 0
05/31/24 3:05:03: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/_footer.scss on line 97, at column 0
05/31/24 3:05:03: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/_footer.scss on line 97, at column 0
05/31/24 3:05:05: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/_footer.scss on line 97, at column 0
05/31/24 3:05:09: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/_footer.scss on line 97, at column 0
05/31/24 3:05:11: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/_footer.scss on line 97, at column 0
05/31/24 3:05:11: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/_footer.scss on line 97, at column 0
